Group_ID,Account_ID,Member_Profit,Profit_Ratio(%)
1,A_06d5bd3da9,911874.4896732438,0.5821107302694987
1,A_0ad0445c5a,-879.6913496745852,-0.000561566070517368
1,A_0bfb0b4311,3989416.3126745084,2.546712370418612
1,A_0e72128b0d,9478838.196104905,6.050979040348238
1,A_1a7c006b71,-3576.593303755002,-0.0022831797177173653
1,A_1b6957bd93,800659.6548170121,0.5111148317460505
1,A_1f97e16953,-48200.37515005152,-0.03076953670226527
1,A_26ffea8fd9,8464773.518247526,5.403633449641356
1,A_27fd29fd55,755494.182448647,0.4822826773201306
1,A_2ba62f7b20,-47689.18963692315,-0.03044321265688379
1,A_2db64f326b,12863389.842228001,8.211565670055945
1,A_33849d660b,-1797444.440092633,-1.1474295064621256
1,A_359a23d0bd,-1121287.6920601963,-0.7157932420077368
1,A_3943c4c480,140.80346244857853,8.988430675342858e-05
1,A_3b4f58349f,111.50432700873213,7.118070080732358e-05
1,A_3cab2969e5,7065.5461177567995,0.004510412624695793
1,A_3cfd9478f0,-1532.2884264197576,-0.000978162614469374
1,A_4081f88bb0,28653710.396724746,18.291587792904547
1,A_40cfe40ac2,-160880.50029869986,-0.10270082843150555
1,A_48fbd03d61,-374240.91936692485,-0.23890311368121755
1,A_4943ad62b4,252.68214277704178,0.0001613039824271349
1,A_507a86d368,-418728.8163756032,-0.267302726247587
1,A_522c68dd44,-210270.94169891145,-0.13423006434873405
1,A_59b90616d6,-164302.31200614278,-0.10488520066082196
1,A_5cd5d675fd,139.45676277848978,8.902461790667734e-05
1,A_60a63690ae,75362.79285470904,0.04810913221130201
1,A_64a414bc30,3025.511595459679,0.0019313872514439597
1,A_68f6513965,7611.344104413729,0.00485883213658096
1,A_6960c2ee08,337.30343556879495,0.00021532343696962103
1,A_6b3a8b213d,-4588.910674800001,-0.002929409885132909
1,A_7620582c70,-50.798669299996845,-3.242820236536724e-05
1,A_78e950c1a2,-114.59735599540396,-7.315518894419585e-05
1,A_7ba723a337,8616.270034464187,0.005500343850784134
1,A_7e27164ab6,47084118.30259219,30.056954986248936
1,A_853f70d58b,-577.2034599786983,-0.000368467734767622
1,A_89cf7b96c2,1582.085358174486,0.0010099513404806832
1,A_9366ce5043,57.273315183990874,3.656140368468336e-05
1,A_94cf7bdada,13.513206634840461,8.626387371915998e-06
1,A_9788666227,454994.58949679945,0.2904536049205195
1,A_9a5e1e7fac,-120.20011239582684,-7.673180464811904e-05
1,A_ace0a74506,-2694.778515477343,-0.0017202581137248138
1,A_ae270b7bf6,-1172514.1327517857,-0.748494519582432
1,A_b2bc71e131,-8417.89069943544,-0.005373704997639617
1,A_c462ca9c6b,18587.165062463806,0.011865435814557795
1,A_c668740478,1927982.3747889248,1.2307606373956816
1,A_cab220ef3c,47139996.577430375,30.09262584198689
1,A_cf3fcea289,1195981.2835047704,0.7634751780139002
1,A_d444580218,6985.136414401921,0.004459081710550541
1,A_dae7cf0dd9,7425.570181144875,0.004740240164370165
1,A_dcd87c6c96,-2553524.9206612045,-1.6300864572492846
1,A_e27beda014,340.39028394800465,0.0002172939796096469
1,A_e7205c325a,1398426.0330683046,0.8927092582982197
1,A_e8e9d04acc,42977.74759655353,0.027435582771629805
1,A_e95b2c5030,3720.2574539000198,0.002374890193557555
1,A_ebdb869fd3,405.4111196125873,0.0002588011459577328
1,A_ef035876f1,-65.40380898478739,-4.175164393970929e-05
1,A_f2ab53d645,-553845.8502296349,-0.35355700371597315
1,A_f96ede8d34,-9203.374213592902,-0.005875131879539446
2,A_8413984c30,-73760484.009741,49.91211514777581
2,A_8860be39b3,-74020237.74760558,50.08788485222419
3,A_55021b4ae2,149.08287465716717,37.82848085683202
3,A_c91db6cabf,245.01932368750158,62.171519143167984
