account_id,trade_profit,funding_profit,reward_profit,total_profit
A_06d5bd3da9,911918.3730749,-53.88340165620804,10.0,911874.4896732438
A_0ad0445c5a,-650.0702950000058,-239.61799465457943,9.99693998,-879.6913496745852
A_0bfb0b4311,3986684.8217525,2721.490922008698,10.0,3989416.3126745084
A_0e72128b0d,9463707.159194,15067.479016771336,63.55789413312692,9478838.196104905
A_1a7c006b71,-3582.8061949999988,-11.28450475500361,17.497396000000002,-3576.593303755002
A_1b6957bd93,800597.8398142001,47.70482861206378,14.1101742,800659.6548170121
A_1f97e16953,-49180.6083571002,980.2332070486788,0.0,-48200.37515005152
A_26ffea8fd9,8462160.4524139,2369.5210136163073,243.54482001104577,8464773.518247526
A_27fd29fd55,755483.7303817,0.45206694702378497,10.0,755494.182448647
A_2ba62f7b20,-47717.250366099994,1.8088332718439046,26.251895904999998,-47689.18963692315
A_2db64f326b,12885115.917777501,-21989.199131351863,263.1235818510439,12863389.842228001
A_33849d660b,-1799429.1666234,1923.8686283500533,60.85790241686868,-1797444.440092633
A_359a23d0bd,-1121692.1954965,318.5034363037258,86.0,-1121287.6920601963
A_3943c4c480,123.09574640000059,7.707716048577946,10.0,140.80346244857853
A_3b4f58349f,81.64486989994657,-0.140542891214441,30.0,111.50432700873213
A_3cab2969e5,7065.4353532,0.11076455679976549,0.0,7065.5461177567995
A_3cfd9478f0,-1532.2920894,0.0036629802423685034,0.0,-1532.2884264197576
A_4081f88bb0,28654401.26521102,-731.2672682557472,40.398781979999995,28653710.396724746
A_40cfe40ac2,-160908.0026951,24.520954400142646,2.981442,-160880.50029869986
A_48fbd03d61,-374370.61511539994,23.695748475097364,106.0,-374240.91936692485
A_4943ad62b4,214.6202494000088,0.6403240602909005,37.42156931674209,252.68214277704178
A_507a86d368,-418761.2578494,22.44147379676068,10.0,-418728.8163756032
A_522c68dd44,-210458.05755569998,184.13992678854456,2.97593,-210270.94169891145
A_55021b4ae2,-385.5950500000001,-0.22084534283273982,534.89877,149.08287465716717
A_59b90616d6,-164343.3090296,5.5425344007598545,35.45448905644916,-164302.31200614278
A_5cd5d675fd,127.0195819000001,0.18022937848966908,12.2569515,139.45676277848978
A_60a63690ae,75306.41556001818,56.37729469086226,0.0,75362.79285470904
A_64a414bc30,3040.963733,-25.452137540320997,10.0,3025.511595459679
A_68f6513965,7582.297831600001,-1.9448457576999145,30.991118571428572,7611.344104413729
A_6960c2ee08,325.3484178000063,1.9550177687886705,10.0,337.30343556879495
A_6b3a8b213d,-4588.910674800001,0.0,0.0,-4588.910674800001
A_7620582c70,-70.79866929999685,0.0,20.0,-50.798669299996845
A_78e950c1a2,-136.0521235000123,-0.09980485693010928,21.55457236153846,-114.59735599540396
A_7ba723a337,8606.271797000001,9.998237464185012,0.0,8616.270034464187
A_7e27164ab6,47038615.6557139,45324.856859479565,177.79001880157895,47084118.30259219
A_8413984c30,-73760934.844422,450.8346810033523,0.0,-73760484.009741
A_853f70d58b,-683.2589867999543,0.05552682125593399,106.0,-577.2034599786983
A_8860be39b3,-74020501.10188189,253.3542763196836,10.0,-74020237.74760558
A_89cf7b96c2,103.041267000002,1413.0440911744838,66.0,1582.085358174486
A_9366ce5043,50.63491455000002,6.638400633990854,0.0,57.273315183990874
A_946b028740,-4.618850000000063,-0.2297306861232133,0.0,-4.8485806861232765
A_94cf7bdada,13.50449720000087,0.0087094348395916,0.0,13.513206634840461
A_9788666227,454995.45232710004,-10.86283030056528,10.0,454994.58949679945
A_9a5e1e7fac,-128.09496200000044,7.8948496041736,0.0,-120.20011239582684
A_ace0a74506,-2786.0705848000084,4.31029865599866,86.98177066666668,-2694.778515477343
A_ae270b7bf6,-1175696.7544127,3019.1122344143932,163.50942650000002,-1172514.1327517857
A_b2bc71e131,-8598.541575300014,114.11612469790806,66.53475116666667,-8417.89069943544
A_c462ca9c6b,16780.239392000098,1711.2078008214492,95.71786964226135,18587.165062463806
A_c668740478,1927922.8755315,19.49925742489969,40.0,1927982.3747889248
A_c91db6cabf,-290.14712999999847,0.2543541875,534.9120995000001,245.01932368750158
A_cab220ef3c,47154711.45690534,-16488.415770611624,1773.536295645769,47139996.577430375
A_cf3fcea289,1205620.3716669101,-9789.086964719698,149.99880258,1195981.2835047704
A_d444580218,12571.433252560011,-5923.192704922875,336.89586676478524,6985.136414401921
A_dae7cf0dd9,7429.506423000001,-3.936241855125538,0.0,7425.570181144875
A_dcd87c6c96,-2554208.0116455,98.26760404580241,584.82338025,-2553524.9206612045
A_e27beda014,326.33991219999325,0.10686554801140591,13.9435062,340.39028394800465
A_e7205c325a,1397602.9981105002,238.25624422119358,584.7787135833333,1398426.0330683046
A_e8e9d04acc,42976.20838,-15.908816846473657,17.4480334,42977.74759655353
A_e95b2c5030,3720.2574539000198,0.0,0.0,3720.2574539000198
A_ebdb869fd3,244.6144007799997,0.8053608325876094,159.991358,405.4111196125873
A_ef035876f1,-60.36743530000013,-5.036373684787258,0.0,-65.40380898478739
A_f2ab53d645,-555897.8569339999,1843.0179035617314,208.98880080333333,-553845.8502296349
A_f96ede8d34,-350.2160952100347,-9649.186412726396,796.0282943435294,-9203.374213592902
